Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,C,C18,2n2,SMD-0805,1,~,5c70984712875079b91f8b46
2,,C,C15,3n3,SMD-0805,1,~,5c70984712875079b91f8b47
3,,C,C2C10C11C12C13C14C16C20,100nF,SMD-0805,8,,5c70984712875079b91f8b4c
4,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C26C27C28C31C32C34C35C39C44C47C54C55,100nF,SMD-0805,12,,5c70984712875079b91f8b4c
5,,C,C24,1uF,SMD-0805,1,~,5c70984712875079b91f8b50
6,,C,C3C17,4u7,SMD-0805,2,~,5e3ff8fc1287502a33bad7a3
7,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C43,4u7,SMD-0805,1,,5e3ff8fc1287502a33bad7a3
8,,C,C4C6C7C8C9C21C23,10uF,SMD-0805,7,~,5c70984712875079b91f8b53
9,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C36C40C42C50,10uF,SMD-0805,4,,5c70984712875079b91f8b53
10,,CP,C1,22uF,TantalC_SizeC_Reflow,1,~,650b58f1462c6d9e7205463b
11,,C,C19,1nF/NP0,SMD-0805,1,~,5c70984812875079b91f8ba6
12,,C,C5,1pFNP0 251R15S1R0AV4E,SMD-0805,1,~,5c70984712875079b91f8b9f
13,,EMI_Filter_C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C29C52,NFM21PC105-1uF,FIR_0805,2,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,5c70984412875079b91f880f
14,,D-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,D3,"BZV55C-5,6V",D_MiniMELF,1,,5c70984512875079b91f88b2
15,,D_Photo,D1,S11773-02,HAMAMATSU_S11773-02,1,~,
16,,Polyfuse-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue-SPACEDOS01B_PCB01A-rescue,F2,2R2,SMD-0805,1,,5cac42d21287500e61c241e5
17,,L-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,L1,10uH - LQH32CN100K23L,SMD-1210,1,,5c70984412875079b91f87ff
18,,L_Small,L3,DFE252012P-4R7M,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,5cc3309d128750448e54e8d8
19,,HOLE,M8M9M10,BMI-S-204-F,Laird_Technologies_BMI-S-204-F_32.00x32.00mm,3,,5c72751c1287500b4e11301a
20,,HOLE,M6,BMI-S-210-F,BMI-S-210-F,1,,5c70984312875079b91f873d
21,,R,R1,10R,SMD-0805,1,~,5c70984512875079b91f896d
22,,R,R2R3R4R5,470R,SMD-0805,4,~,5c70984512875079b91f8986
23,,R,R8R10,1k,SMD-0805,2,~,5c70984512875079b91f898c
24,,R,R13,2k2,SMD-0805,1,~,5c70984612875079b91f8990
25,,R,R9R11R15R19R22,4k7,SMD-0805,5,~,5c70984612875079b91f8995
26,,R,R7R12,10k,SMD-0805,2,~,5c70984612875079b91f899f
27,,R-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,R20R21R23,10k,SMD-0805,3,,5c70984612875079b91f899f
28,,R,R6,10M,SMD-0805,1,~,5c70984712875079b91f8aae
29,,ATMEGA1284P-AU-atmel-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,U10,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,5c70984712875079b91f8b5b
30,,ISL21070CIH320Z-TK,U3,ISL21080DIH312Z-TK  1V25,SOT-23,1,https://eu.mouser.com/datasheet/2/698/REN_isl21080_DST_20040119-1998038.pdf,5c70984712875079b91f8b7a
31,,AD8692,U1U2,OPA2314,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,,5c70984412875079b91f879b
32,,PCF85263A,U11,PCF85263A,TSSOP-10_3x3mm_Pitch0.5mm,1,,5c70984612875079b91f8a0c
33,,TPS61322xA,U8,TPS613222ADBV,SOT-23-5,1,https://www.ti.com/lit/ds/symlink/tps61322.pdf,5c7190ae1287500b4e112e04
34,,TS5A4594,U5,TS5A4594,SOT-23-5_HandSoldering,1,,5c70984612875079b91f8a0d
35,,OP179GRT,U4,TS7211,SOT-23-5_HandSoldering,1,http://www.analog.com/media/en/technical-documentation/data-sheets/OP179_279.pdf,5c70984712875079b91f8b5b
36,,Crystal-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,Y2,ABS07-120-32.768KHZ-T,ABS07,1,,5c70984712875079b91f8b1b
