Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,C,C18,2n2,SMD-0805,1,~,5c70984712875079b91f8b46
2,,C,C15,3n3,SMD-0805,1,~,5c70984712875079b91f8b47
3,,C,C10,100nF,SMD-0805,1,~,5c70984712875079b91f8b4c
4,,C,C11,100nF,SMD-0805,1,~,5c70984712875079b91f8b4c
5,,C,C12,100nF,SMD-0805,1,~,5c70984712875079b91f8b4c
6,,C,C13,100nF,SMD-0805,1,~,5c70984712875079b91f8b4c
7,,C,C14,100nF,SMD-0805,1,~,5c70984712875079b91f8b4c
8,,C,C16,100nF,SMD-0805,1,~,5c70984712875079b91f8b4c
9,,C,C2,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
10,,C,C20,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
11,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C26,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
12,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C27,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
13,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C28,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
14,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C31,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
15,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C32,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
16,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C34,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
17,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C35,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
18,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C39,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
19,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C44,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
20,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C47,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
21,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C54,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
22,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C55,100nF,SMD-0805,1,,5c70984712875079b91f8b4c
23,,C,C24,1uF,SMD-0805,1,~,5c70984712875079b91f8b50
24,,C,C17,4u7,SMD-0805,1,~,5e3ff8fc1287502a33bad7a3
25,,C,C3,4u7,SMD-0805,1,~,5e3ff8fc1287502a33bad7a3
26,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C43,4u7,SMD-0805,1,,5e3ff8fc1287502a33bad7a3
