"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"L1";"SMD-1210";1;"10uH - LQH32CN100K23L";;;
2;"C45,C29,C52,C51";"FIR1";4;"NFM21PC105-1uF";;;
3;"R13";"SMD-0805";1;"2k2";;;
4;"C19";"SMD-0805";1;"1nF/NP0";;;
5;"R12,R7,R20,R21,R23";"SMD-0805";5;"10k";;;
6;"C7,C9,C6,C4,C8,C40,C21,C23,C38,C42,C49,C50,C22,C36";"SMD-0805";14;"10uF";;;
7;"C14,C12,C11,C16,C20,C10,C13,C26,C27,C28,C31,C34,C35,C39,C44,C47,C25,C32,C48,C53,C54,C2,C55";"SMD-0805";23;"100nF";;;
8;"R5,R3,R2,R4";"SMD-0805";4;"470R";;;
9;"U2,U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"OPA2314";;;
10;"C18";"SMD-0805";1;"2n2";;;
11;"R11,R9,R15,R19,R22";"SMD-0805";5;"4k7";;;
12;"C17,C3,C43";"SMD-0805";3;"4u7";;;
13;"R10,R8";"SMD-0805";2;"1k";;;
14;"C15";"SMD-0805";1;"3n3";;;
15;"R6";"SMD-0805";1;"10M";;;
16;"C5";"SMD-0805";1;"1pFNP0 251R15S1R0AV4E";;;
17;"C1";"TantalC_SizeC_Reflow";1;"47uF";;;
18;"J22";"SMD_2x03";1;"HEADER_2x03";;;
19;"U11";"TSSOP-10_3x3mm_Pitch0.5mm";1;"PCF85263A";;;
20;"M6,M7";"BMI-S-210-F";2;"BMI-S-210-F";;;
21;"U10";"TQFP-44_10x10mm_P0.8mm";1;"ATMEGA1284P-AU";;;
22;"C24";"SMD-0805";1;"1uF";;;
23;"M2,M3,M4,M1";"MountingHole_3mm";4;"HOLE";;;
24;"U4";"SOT-23-5_HandSoldering";1;"TS7211";;;
25;"U5";"SOT-23-5_HandSoldering";1;"TS5A4594";;;
26;"U3";"SOT-23";1;"ISL21080DIH312Z-TK  1V25";;;
27;"R1";"SMD-0805";1;"10R";;;
28;"C30,C33";"SMD-0805";2;"15pF";;;
29;"J19";"Straight_2x01";1;"HEADER_2x01_PARALLEL";;;
30;"Y1";"Crystal_HC49-U_Vertical";1;"16MHz";;;
31;"Y2";"ABS07";1;"ABS07-120-32.768KHZ-T";;;
32;"L2,L3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"DFE252012P-4R7M";;;
33;"U6";"SOT-23-5";1;"TPS613221ADBV";;;
34;"U8";"SOT-23-5";1;"TPS613222ADBV";;;
35;"J1,J2,J3";"Straight_1x02";3;"HEADER_2x01_PARALLEL";;;
36;"R24,R25,R27";"SMD-0805";3;"-";;;
37;"R28";"SMD-0805";1;"0R";;;
38;"D1,D3";"D_MiniMELF";2;"BZV55C-5,6V";;;
39;"F1,F2";"SMD-0805";2;"SR010-15 100mA ";;;
40;"D2";"HAMAMATSU_S2744-09";1;"S2744-09";;;
41;"J4,J5,J6,J7";"Straight_1x01";4;"HEADER_1x01";;;
