Channel,Count
-2,765
-1,201135
0,799245
1,129183
2,48
3,7
4,6
5,12
6,57
7,113
8,68
9,80
10,86
11,58
12,75
13,85
14,52
15,69
16,44
17,72
18,55
19,42
20,52
21,11
22,3
23,0
24,0
25,1
26,0
27,0
28,4
29,1
30,0
31,0
32,0
33,3
34,0
35,3
36,1
37,2
38,2
39,5
40,0
41,1
42,3
43,4
44,6
45,22
46,33
47,27
48,21
49,48
50,26
51,22
52,25
53,22
54,27
55,23
56,18
57,25
58,25
59,18
60,14
61,20
62,25
63,22
64,13
65,31
66,19
67,20
68,23
69,19
70,17
71,18
72,9
73,15
74,20
75,15
76,16
77,24
78,18
79,22
80,8
81,19
82,13
83,14
84,12
85,20
86,16
87,16
88,17
89,12
90,22
91,10
92,20
93,24
94,14
95,3
96,1
97,6
98,2
99,0
100,3
101,3
102,4
103,3
104,2
105,4
106,1
107,2
108,3
109,1
110,5
111,2
112,3
113,4
114,6
115,2
116,1
117,3
118,6
119,2
120,2
121,3
122,5
123,2
124,1
125,4
126,1
127,1
128,1
129,1
130,3
131,0
132,1
133,2
134,3
135,2
136,7
137,16
138,60
139,85
140,190
141,386
142,102
143,10
144,0
145,1
146,1
147,3
148,4
149,10
150,17
151,18
152,2
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
