Channel,Count
-3,1733
-2,2470
-1,2421858
0,2430446
1,100092
2,24
3,16
4,22
5,25
6,56
7,243
8,147
9,187
10,222
11,143
12,153
13,200
14,134
15,158
16,98
17,183
18,131
19,87
20,12
21,1
22,3
23,1
24,5
25,3
26,4
27,3
28,5
29,2
30,3
31,5
32,2
33,6
34,6
35,3
36,2
37,7
38,8
39,3
40,20
41,49
42,114
43,42
44,69
45,70
46,72
47,65
48,41
49,92
50,48
51,29
52,57
53,62
54,58
55,60
56,32
57,48
58,62
59,34
60,58
61,66
62,41
63,38
64,27
65,53
66,52
67,42
68,40
69,58
70,44
71,48
72,25
73,43
74,56
75,37
76,39
77,58
78,37
79,51
80,25
81,59
82,17
83,3
84,5
85,3
86,1
87,3
88,0
89,4
90,2
91,2
92,2
93,2
94,3
95,4
96,1
97,1
98,1
99,2
100,1
101,1
102,1
103,4
104,0
105,1
106,1
107,1
108,3
109,3
110,2
111,9
112,6
113,47
114,69
115,171
116,449
117,733
118,431
119,34
120,0
121,1
122,6
123,11
124,28
125,36
126,15
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
