Channel,Count
-3,0
-2,0
-1,1747
0,512004
1,508288
2,49979
3,369
4,10
5,4
6,9
7,1
8,2
9,1
10,1
11,3
12,1
13,1
14,0
15,2
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,2
28,0
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,2
50,1
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,2
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,3
70,1
71,0
72,4
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,3
81,1
82,1
83,2
84,1
85,3
86,2
87,1
88,1
89,4
90,3
91,1
92,5
93,2
94,2
95,0
96,1
97,2
98,0
99,1
100,2
101,0
102,1
103,2
104,5
105,6
106,10
107,26
108,90
109,210
110,376
111,621
112,523
113,202
114,21
115,3
116,4
117,10
118,18
119,37
120,23
121,12
122,4
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
